Title,DOI,Citations
Hierarchical Attention Networks for Document Classification,10.18653/v1/N16-1174,2362
Neural Architectures for Named Entity Recognition,10.18653/v1/N16-1030,1728
“Why Should I Trust You?”: Explaining the Predictions of Any Classifier,10.18653/v1/N16-3020,1140
Hateful Symbols or Hateful People? Predictive Features for Hate Speech Detection on Twitter,10.18653/v1/N16-2013,623
A Diversity-Promoting Objective Function for Neural Conversation Models,10.18653/v1/N16-1014,465
Abstractive Sentence Summarization with Attentive Recurrent Neural Networks,10.18653/v1/N16-1012,350
Joint Event Extraction via Recurrent Neural Networks,10.18653/v1/N16-1034,261
Learning to Compose Neural Networks for Question Answering,10.18653/v1/N16-1181,193
Sequential Short-Text Classification with Recurrent and Convolutional Neural Networks,10.18653/v1/N16-1062,192
Emergent: a novel data-set for stance classification,10.18653/v1/N16-1138,142
Learning Distributed Representations of Sentences from Unlabelled Data,10.18653/v1/N16-1162,140
Farasa: A Fast and Furious Segmenter for Arabic,10.18653/v1/N16-3003,139
Visualizing and Understanding Neural Models in NLP,10.18653/v1/N16-1082,135
"Multi-Way, Multilingual Neural Machine Translation with a Shared Attention Mechanism",10.18653/v1/N16-1101,134
Learning Natural Language Inference with LSTM,10.18653/v1/N16-1170,130
Bidirectional RNN for Medical Event Detection in Electronic Health Records,10.18653/v1/N16-1056,122
A Corpus and Cloze Evaluation for Deeper Understanding of Commonsense Stories,10.18653/v1/N16-1098,112
Pairwise Word Interaction Modeling with Deep Neural Networks for Semantic Similarity Measurement,10.18653/v1/N16-1108,104
Visual Storytelling,10.18653/v1/N16-1147,103
Combining Recurrent and Convolutional Neural Networks for Relation Classification,10.18653/v1/N16-1065,83
Recurrent Neural Network Grammars,10.18653/v1/N16-1024,78
STransE: a novel embedding model of entities and relationships in knowledge bases,10.18653/v1/N16-1054,77
Counter-fitting Word Vectors to Linguistic Constraints,10.18653/v1/N16-1018,70
Capturing Semantic Similarity for Entity Linking with Convolutional Neural Networks,10.18653/v1/N16-1150,68
Grammatical error correction using neural machine translation,10.18653/v1/N16-1042,67
Joint Extraction of Events and Entities within a Document Context,10.18653/v1/N16-1033,65
Building Chinese Affective Resources in Valence-Arousal Dimensions,10.18653/v1/N16-1066,64
Fast and Easy Short Answer Grading with High Accuracy,10.18653/v1/N16-1123,63
Black Holes and White Rabbits: Metaphor Identification with Visual Features,10.18653/v1/N16-1020,62
Multi-Source Neural Translation,10.18653/v1/N16-1004,61
Breaking the Closed World Assumption in Text Classification,10.18653/v1/N16-1061,57
Improved Neural Network-based Multi-label Classification with Better Initialization Leveraging Label Co-occurrence,10.18653/v1/N16-1063,57
Multilingual Language Processing From Bytes,10.18653/v1/N16-1155,53
Dependency Based Embeddings for Sentence Classification Tasks,10.18653/v1/N16-1175,53
MAWPS: A Math Word Problem Repository,10.18653/v1/N16-1136,49
What to talk about and how? Selective Generation using LSTMs with Coarse-to-Fine Alignment,10.18653/v1/N16-1086,48
Dependency Sensitive Convolutional Neural Networks for Modeling Sentences and Documents,10.18653/v1/N16-1177,48
MGNC-CNN: A Simple Approach to Exploiting Multiple Word Embeddings for Sentence Classification,10.18653/v1/N16-1178,47
Analogy-based detection of morphological and semantic relations with word embeddings: what works and what doesn’t.,10.18653/v1/N16-2002,46
Controlling Politeness in Neural Machine Translation via Side Constraints,10.18653/v1/N16-1005,45
Improve Chinese Word Embeddings by Exploiting Internal Structure,10.18653/v1/N16-1119,42
Question Answering over Knowledge Base using Factual Memory Networks,10.18653/v1/N16-2016,40
Recurrent Memory Networks for Language Modeling,10.18653/v1/N16-1036,39
Learning Global Features for Coreference Resolution,10.18653/v1/N16-1114,37
Neural Network-Based Abstract Generation for Opinions and Arguments,10.18653/v1/N16-1007,36
Agreement on Target-bidirectional Neural Machine Translation,10.18653/v1/N16-1046,35
The Role of Context Types and Dimensionality in Learning Word Embeddings,10.18653/v1/N16-1118,34
An Attentional Model for Speech Translation Without Transcription,10.18653/v1/N16-1109,33
Multi-domain Neural Network Language Generation for Spoken Dialogue Systems,10.18653/v1/N16-1015,33
A Long Short-Term Memory Framework for Predicting Humor in Dialogues,10.18653/v1/N16-1016,29
Incorporating Structural Alignment Biases into an Attentional Neural Translation Model,10.18653/v1/N16-1102,29
Cross-lingual Wikification Using Multilingual Embeddings,10.18653/v1/N16-1072,28
Deep LSTM based Feature Mapping for Query Classification,10.18653/v1/N16-1176,28
Feuding Families and Former Friends: Unsupervised Learning for Dynamic Fictional Relationships,10.18653/v1/N16-1180,28
Natural Language Communication with Robots,10.18653/v1/N16-1089,27
Bilingual Word Embeddings from Parallel and Non-parallel Corpora for Cross-Language Text Classification,10.18653/v1/N16-1083,26
Leverage Financial News to Predict Stock Price Movements Using Word Embeddings and Deep Neural Networks,10.18653/v1/N16-1041,25
Semi-supervised Question Retrieval with Gated Convolutions,10.18653/v1/N16-1153,25
