Title,DOI,Citations
GloVe: Global Vectors for Word Representation,10.3115/v1/D14-1162,13801
Learning Phrase Representations using RNN Encoder–Decoder for Statistical Machine Translation,10.3115/v1/D14-1179,10919
Convolutional Neural Networks for Sentence Classification,10.3115/v1/D14-1181,7031
A Fast and Accurate Dependency Parser using Neural Networks,10.3115/v1/D14-1082,575
ReferItGame: Referring to Objects in Photographs of Natural Scenes,10.3115/v1/D14-1086,399
Question Answering with Subgraph Embeddings,10.3115/v1/D14-1067,354
Opinion Mining with Deep Recurrent Neural Networks,10.3115/v1/D14-1080,204
Knowledge Graph and Text Jointly Embedding,10.3115/v1/D14-1167,196
Modeling Joint Entity and Relation Extraction with Table Representation,10.3115/v1/D14-1200,177
A Neural Network for Factoid Question Answering over Paragraphs,10.3115/v1/D14-1070,133
Using Structured Events to Predict Stock Price Movement: An Empirical Investigation,10.3115/v1/D14-1148,121
Identifying Argumentative Discourse Structures in Persuasive Essays,10.3115/v1/D14-1006,117
Chinese Poetry Generation with Recurrent Neural Networks,10.3115/v1/D14-1074,115
A Unified Model for Word Sense Representation and Disambiguation,10.3115/v1/D14-1110,109
Efficient Non-parametric Estimation of Multiple Embeddings per Word in Vector Space,10.3115/v1/D14-1113,102
Translation Modeling with Bidirectional Recurrent Neural Networks,10.3115/v1/D14-1003,92
Developing Age and Gender Predictive Lexica over Social Media,10.3115/v1/D14-1121,85
Learning Image Embeddings using Convolutional Neural Networks for Improved Multi-Modal Semantics,10.3115/v1/D14-1005,84
#TagSpace: Semantic Embeddings from Hashtags,10.3115/v1/D14-1194,80
Abstractive Summarization of Product Reviews Using Discourse Structure,10.3115/v1/D14-1168,72
Learning to Solve Arithmetic Word Problems with Verb Categorization,10.3115/v1/D14-1058,72
Learning Spatial Knowledge for Text to 3D Scene Generation,10.3115/v1/D14-1217,71
Typed Tensor Decomposition of Knowledge Bases for Relation Extraction,10.3115/v1/D14-1165,71
Citation-Enhanced Keyphrase Extraction from Research Papers: A Supervised Approach,10.3115/v1/D14-1150,67
Modeling Interestingness with Deep Neural Networks,10.3115/v1/D14-1002,66
POS Tagging of English-Hindi Code-Mixed Social Media Content,10.3115/v1/D14-1105,63
Incorporating Vector Space Similarity in Random Walk Inference over Knowledge Bases,10.3115/v1/D14-1044,58
A Dependency Parser for Tweets,10.3115/v1/D14-1108,48
Positive Unlabeled Learning for Deceptive Reviews Detection,10.3115/v1/D14-1055,48
Combining Distant and Partial Supervision for Relation Extraction,10.3115/v1/D14-1164,47
ReNoun: Fact Extraction for Nominal Attributes,10.3115/v1/D14-1038,43
Low-dimensional Embeddings for Interpretable Anchor-based Topic Inference,10.3115/v1/D14-1138,43
Modeling Biological Processes for Reading Comprehension,10.3115/v1/D14-1159,42
Hierarchical Discriminative Classification for Text-Based Geolocation,10.3115/v1/D14-1039,42
Joint Relational Embeddings for Knowledge-based Question Answering,10.3115/v1/D14-1071,41
Building Chinese Discourse Corpus with Connective-driven Dependency Tree Structure,10.3115/v1/D14-1224,40
Revisiting Embedding Features for Simple Semi-supervised Learning,10.3115/v1/D14-1012,40
Why are You Taking this Stance? Identifying and Classifying Reasons in Ideological Debates,10.3115/v1/D14-1083,40
Exploiting Social Relations and Sentiment for Stock Prediction,10.3115/v1/D14-1120,40
Recursive Deep Models for Discourse Parsing,10.3115/v1/D14-1220,39
A Model of Coherence Based on Distributed Sentence Representation,10.3115/v1/D14-1218,38
Aligning context-based statistical models of language with brain activity during reading,10.3115/v1/D14-1030,37
Constructing Information Networks Using One Single Model,10.3115/v1/D14-1198,36
Evaluating Neural Word Representations in Tensor-Based Compositional Settings,10.3115/v1/D14-1079,35
Major Life Event Extraction from Twitter based on Congratulations/Condolences Speech Acts,10.3115/v1/D14-1214,34
Online topic model for Twitter considering dynamics of user interests and topic trends,10.3115/v1/D14-1212,32
Can characters reveal your native language? A language-independent approach to native language identification,10.3115/v1/D14-1142,29
Learning Abstract Concept Embeddings from Multi-Modal Data: Since You Probably Can’t See What I Mean,10.3115/v1/D14-1032,29
+/-EffectWordNet: Sense-level Lexicon Acquisition for Opinion Inference,10.3115/v1/D14-1125,28
Keystroke Patterns as Prosody in Digital Writings: A Case Study with Deceptive Reviews and Essays,10.3115/v1/D14-1155,28
ZORE: A Syntax-based System for Chinese Open Relation Extraction,10.3115/v1/D14-1201,28
Explaining the Stars: Weighted Multiple-Instance Learning for Aspect-Based Sentiment Analysis,10.3115/v1/D14-1052,27
Domain Adaptation for CRF-based Chinese Word Segmentation using Free Annotations,10.3115/v1/D14-1093,26
A Sentiment-aligned Topic Model for Product Aspect Rating Prediction,10.3115/v1/D14-1126,25
Verifiably Effective Arabic Dialect Identification,10.3115/v1/D14-1154,24
Self-disclosure topic model for classifying and analyzing Twitter conversations,10.3115/v1/D14-1213,23
An Unsupervised Model for Instance Level Subcategorization Acquisition,10.3115/v1/D14-1034,22
Question Answering over Linked Data Using First-order Logic,10.3115/v1/D14-1116,22
