Title,DOI,Citations
Rediscovering ACL Discoveries Through the Lens of ACL Anthology Network Citing Sentences,,0
A Comparative Study of Target Dependency Structures for Statistical Machine Translation,,0
Estimating Compact Yet Rich Tree Insertion Grammars,,0
Topic Models for Dynamic Translation Model Adaptation,,0
Detecting Semantic Equivalence and Information Disparity in Cross-lingual Documents,,0
Cross-lingual Parse Disambiguation based on Semantic Correspondence,,0
Learning to Find Translations and Transliterations on the Web,,0
"Beefmoves: Dissemination, Diversity, and Dynamics of English Borrowings in a German Hip Hop Forum",,0
Learning the Latent Semantics of a Concept from its Definition,,0
Unsupervised Semantic Role Induction with Global Role Ordering,,0
Humor as Circuits in Semantic Networks,,0
Crowdsourcing Inference-Rule Evaluation,,0
A Comprehensive Gold Standard for the Enron Organizational Hierarchy,,0
A Two-step Approach to Sentence Compression of Spoken Utterances,,0
Syntactic Stylometry for Deception Detection,,0
Transforming Standard Arabic to Colloquial Arabic,,0
Corpus-based Interpretation of Instructions in Virtual Environments,,0
Automatically Mining Question Reformulation Patterns from Search Log Data,,0
Native Language Detection with Tree Substitution Grammars,,0
Tense and Aspect Error Correction for ESL Learners Using Global Context,,0
Movie-DiC: a Movie Dialogue Corpus for Research and Development,,0
Combining Textual Entailment and Argumentation Theory for Supporting Online Debates Interactions,,0
Towards the Unsupervised Acquisition of Discourse Relations,,0
Arabic Retrieval Revisited: Morphological Hole Filling,,0
Extracting and modeling durations for habits and events from Twitter,,0
Event Linking: Grounding Event Reference in a News Archive,,0
Coupling Label Propagation and Constraints for Temporal Fact Extraction,,0
Using Search-Logs to Improve Query Tagging,,0
Toward Automatically Assembling Hittite-Language Cuneiform Tablet Fragments into Larger Texts,,0
Robust Conversion of CCG Derivations to Phrase Structure Trees,,0
Automatically Learning Measures of Child Language Development,,0
Coarse Lexical Semantic Annotation with Supersenses: An Arabic Case Study,,0
"Baselines and Bigrams: Simple, Good Sentiment and Topic Classification",,0
Text Segmentation by Language Using Minimum Description Length,,0
Improve SMT Quality with Automatically Extracted Paraphrase Rules,,0
Ecological Evaluation of Persuasive Messages Using Google AdWords,,0
Polarity Consistency Checking for Sentiment Dictionaries,,0
Combining Coherence Models and Machine Translation Evaluation Metrics for Summarization Evaluation,,0
Sentence Simplification by Monolingual Machine Translation,,0
A Cost Sensitive Part-of-Speech Tagging: Differentiating Serious Errors from Minor Errors,,0
A Broad-Coverage Normalization System for Social Media Language,,0
"Incremental Joint Approach to Word Segmentation, POS Tagging, and Dependency Parsing in Chinese",,0
Exploring Deterministic Constraints: from a Constrained English POS Tagger to an Efficient ILP Solution to Chinese Word Segmentation,,0
Higher-order Constituent Parsing and Parser Combination,,0
Joint Evaluation of Morphological Segmentation and Syntactic Parsing,,0
A Comparison of Chinese Parsers for Stanford Dependencies,,0
A Feature-Rich Constituent Context Model for Grammar Induction,,0
Private Access to Phrase Tables for Statistical Machine Translation,,0
Fast and Scalable Decoding with Language Model Look-Ahead for Phrase-based Statistical Machine Translation,,0
Head-Driven Hierarchical Phrase-based Translation,,0
Joint Learning of a Dual SMT System for Paraphrase Generation,,0
A Novel Burst-based Text Representation Model for Scalable Event Detection,,0
A Graph-based Cross-lingual Projection Approach for Weakly Supervised Relation Extraction,,0
Pattern Learning for Relation Extraction with a Hierarchical Topic Model,,0
Self-Disclosure and Relationship Strength in Twitter Conversations,,0
Genre Independent Subgroup Detection in Online Discussion Threads: A Study of Implicit Attitude using Textual Latent Semantics,,0
Learning to Temporally Order Medical Events in Clinical Text,,0
"A Context-sensitive, Multi-faceted Model of Lexico-Conceptual Affect",,0
Decoding Running Key Ciphers,,0
Using Rejuvenation to Improve Particle Filtering for Bayesian Word Segmentation,,0
A Corpus of Textual Revisions in Second Language Writing,,0
Word Epoch Disambiguation: Finding How Words Change Over Time,,0
Hierarchical Chunk-to-String Translation,,0
Personalized Normalization for a Multilingual Chat System,,0
LetsMT!: Cloud-Based Platform for Do-It-Yourself Machine Translation,,0
A Web-based Evaluation Framework for Spatial Instruction-Giving Systems,,0
DOMCAT: A Bilingual Concordancer for Domain-Specific Computer Assisted Translation,,0
The OpenGrm open-source finite-state grammar software libraries,,0
Multilingual WSD with Just a Few Lines of Code: the BabelNet API,,0
BIUTEE: A Modular Open-Source System for Recognizing Textual Entailment,,0
Entailment-based Text Exploration with Application to the Health-care Domain,,0
CSNIPER - Annotation-by-query for Non-canonical Constructions in Large Corpora,,0
ACCURAT Toolkit for Multi-Level Alignment and Information Extraction from Comparable Corpora,,0
Demonstration of IlluMe: Creating Ambient According to Instant Message Logs,,0
INPRO_iSS: A Component for Just-In-Time Incremental Speech Synthesis,,0
WizIE: A Best Practices Guided Development Environment for Information Extraction,,0
A System for Real-time Twitter Sentiment Analysis of 2012 U.S. Presidential Election Cycle,,0
"Building Trainable Taggers in a Web-based, UIMA-Supported NLP Workbench",,0
Akamon: An Open Source Toolkit for Tree/Forest-Based Statistical Machine Translation,,0
Subgroup Detector: A System for Detecting Subgroups in Online Discussions,,0
A Graphical Interface for MT Evaluation and Error Analysis,,0
"Online Plagiarized Detection Through Exploiting Lexical, Syntax, and Semantic Information",,0
UWN: A Large Multilingual Lexical Knowledge Base,,0
FLOW: A First-Language-Oriented Writing Assistant System,,0
Social Event Radar: A Bilingual Context Mining and Sentiment Analysis Summarization System,,0
Syntactic Annotations for the Google Books NGram Corpus,,0
Qualitative Modeling of Spatial Prepositions and Motion Expressions,,0
State-of-the-Art Kernels for Natural Language Processing,,0
"Topic Models, Latent Space Models, Sparse Coding, and All That: A Systematic Understanding of Probabilistic Semantic Extraction in Large Corpus",,0
Multilingual Subjectivity and Sentiment Analysis,,0
Deep Learning for NLP (without Magic),,0
IRIS: a Chat-oriented Dialogue System based on the Vector Space Model,,0
langid.py: An Off-the-shelf Language Identification Tool,,0
Authorship Attribution with Author-aware Topic Models,,0
NiuTrans: An Open Source Toolkit for Phrase-based and Syntax-based Machine Translation,,0
Information-theoretic Multi-view Domain Adaptation,,0
Efficient Tree-Based Topic Modeling,,0
Learning Better Rule Extraction with Translation Span Alignment,,0
Enhancing Statistical Machine Translation with Character Alignment,,0
Translation Model Size Reduction for Hierarchical Phrase-based Statistical Machine Translation,,0
Heuristic Cube Pruning in Linear Time,,0
Combining Word-Level and Character-Level Models for Machine Translation Between Closely-Related Languages,,0
Improving the IBM Alignment Models Using Variational Bayes,,0
Post-ordering by Parsing for Japanese-English Statistical Machine Translation,,0
An Exploration of Forest-to-String Translation: Does Translation Help or Hurt Parsing?,,0
Unsupervised Morphology Rivals Supervised Morphology for Arabic MT,,0
A Meta Learning Approach to Grammatical Error Correction,,0
Fine Granular Aspect Analysis using Latent Structural Models,,0
Identifying High-Impact Sub-Structures for Convolution Kernels in Document-level Sentiment Classification,,0
Exploiting Latent Information to Predict Diffusions of Novel Topics on Social Networks,,0
Sentence Compression with Semantic Role Constraints,,0
Fully Abstractive Approach to Guided Summarization,,0
Assessing the Effect of Inconsistent Assessors on Summarization Evaluation,,0
Fast and Robust Part-of-Speech Tagging Using Dynamic Model Selection,,0
Lemmatisation as a Tagging Task,,0
How Are Spelling Errors Generated and Corrected? A Study of Corrected and Uncorrected Spelling Errors Using Keystroke Logs,,0
"Tokenization: Returning to a Long Solved Problem — A Survey, Contrastive Experiment, Recommendations, and Toolkit —",,0
Unsupervized Word Segmentation: the Case for Mandarin Chinese,,0
Grammar Error Correction Using Pseudo-Error Sentences and Domain Adaptation,,0
Applications of GPC Rules and Character Structures in Games for Learning Chinese Characters,,0
Specifying Viewpoint and Information Need with Affective Metaphors: A System Demonstration of the Metaphor-Magnet Web App/Service,,0
QuickView: NLP-based Tweet Search,,0
