Title,DOI,Citations
Human Language Technologies: The 2010 Annual Conference of the North American Chapter of the Association for Computational Linguistics,,0
Invited Talk: Recognition and Understanding of Meetings,,0
Chart Mining-based Lexical Acquisition with Precision Grammars,,0
Products of Random Latent Variable Grammars,,0
Automatic Domain Adaptation for Parsing,,0
Appropriately Handled Prosodic Breaks Help PCFG Parsing,,0
Using Confusion Networks for Speech Summarization,,0
Qme! : A Speech-based Question-Answering system on Mobile Devices,,0
Dialogue-Oriented Review Summary Generation for Spoken Dialogue Recommendation Systems,,0
Minimally-Supervised Extraction of Entities from Text Advertisements,,0
Taxonomy Learning Using Word Sense Induction,,0
Visual Information in Semantic Representation,,0
Automatic Evaluation of Topic Coherence,,0
Multi-Prototype Vector-Space Models of Word Meaning,,0
Unsupervised Syntactic Alignment with Inversion Transduction Grammars,,0
Joint Parsing and Alignment with Weakly Synchronized Grammars,,0
Learning Translation Boundaries for Phrase-Based Decoding,,0
Hitting the Right Paraphrases in Good Time,,0
Training Paradigms for Correcting Errors in Grammar and Usage,,0
Using Mostly Native Data to Correct Errors in Learners’ Writing,,0
Unsupervised Modeling of Twitter Conversations,,0
Streaming First Story Detection with application to Twitter,,0
Unsupervised Model Adaptation using Information-Theoretic Criterion,,0
Formatting Time-Aligned ASR Transcripts for Readability,,0
"Cheap, Fast and Good Enough: Automatic Speech Recognition with Non-Expert Transcription",,0
Contextual Information Improves OOV Detection in Speech,,0
Improved Extraction Assessment through Better Language Models,,0
Language Identification: The Long and the Short of the Matter,,0
Inducing Synchronous Grammars with Slice Sampling,,0
Task-based Evaluation of Multiword Expressions: a Pilot Study in Statistical Machine Translation,,0
Improving Semantic Role Labeling with Word Sense,,0
Extending the METEOR Machine Translation Evaluation Metric to the Phrase Level,,0
Testing a Grammar Customization System with Sahaptin,,0
Two monolingual parses are better than one (synchronous parse),,0
Fast Query for Large Treebanks,,0
Efficient Parsing of Well-Nested Linear Context-Free Rewriting Systems,,0
Utility Evaluation of Cross-document Information Extraction,,0
Evaluation Metrics for the Lexical Substitution Task,,0
Movie Reviews and Revenues: An Experiment in Text Regression,,0
Using Gaussian Mixture Models to Detect Figurative Language in Context,,0
Improving Phrase-Based Translation with Prototypes of Short Phrases,,0
Putting the User in the Loop: Interactive Maximal Marginal Relevance for Query-Focused Summarization,,0
Improving Blog Polarity Classification via Topic Analysis and Adaptive Methods,,0
Creating Local Coherence: An Empirical Assessment,,0
Time-Efficient Creation of an Accurate Sentence Fusion Corpus,,0
Towards Cross-Lingual Textual Entailment,,0
A Comparative Study of Word Co-occurrence for Term Clustering in Language Model-based Sentence Retrieval,,0
Information Content Measures of Semantic Similarity Perform Better Without Sense-Tagged Text,,0
"Generating Expository Dialogue from Monologue: Motivation, Corpus and Preliminary Rules",,0
The Simple Truth about Dependency and Phrase Structure Representations: An Opinion Piece,,0
Word Alignment with Stochastic Bracketing Linear Inversion Transduction Grammar,,0
Crowdsourcing the evaluation of a domain-adapted named entity recognition system,,0
Generalizing Hierarchical Phrase-based Translation using Rules with Adjacent Nonterminals,,0
The Effect of Ambiguity on the Automated Acquisition of WSD Examples,,0
