Title,DOI,Citations
Multiple Narrative Disentanglement: Unraveling Infinite Jest,,0
Acoustic-Prosodic Entrainment and Social Behavior,,0
Identifying High-Level Organizational Elements in Argumentative Discourse,,0
Fast Inference in Phrase Extraction Models with Belief Propagation,,0
Continuous Space Translation Models with Neural Networks,,0
Machine Translation of Arabic Dialects,,0
Entity Clustering Across Languages,,0
Multi-Event Extraction Guided by Global Constraints,,0
Reference Scope Identification in Citing Sentences,,0
Intrinsic and Extrinsic Evaluation of an Automatic User Disengagement Detector for an Uncertainty-Adaptive Spoken Dialogue System,,0
Exploring Content Features for Automated Speech Scoring,,0
"Hello, Who is Calling?: Can Words Reveal the Social Nature of Conversations?",,0
Minimum-Risk Training of Approximate CRF-Based NLP Systems,,0
Unsupervised Learning on an Approximate Corpus,,0
Structured Perceptron with Inexact Search,,0
Segmentation Similarity and Agreement,,0
HyTER: Meaning-Equivalent Semantics for Translation Evaluation,,0
Apples to Oranges: Evaluating Image Annotations from Natural Language Processing Systems,,0
Re-examining Machine Translation Metrics for Paraphrase Identification,,0
A Dependency Treebank of Classical Chinese Poems,,0
Towards Effective Tutorial Feedback for Explanation Questions: A Dataset and Baselines,,0
Topical Segmentation: a Study of Human Performance and a New Measure of Quality.,,0
Structured Ramp Loss Minimization for Machine Translation,,0
Implicitly Intersecting Weighted Automata using Dual Decomposition,,0
Transliteration Mining Using Large Training and Test Sets,,0
Optimized Online Rank Learning for Machine Translation,,0
Every sensible extended top-down tree transducer is a multi bottom-up tree transducer,,0
NOMIT: Automatic Titling by Nominalizing,,0
"Correcting Comma Errors in Learner Essays, and Restoring Commas in Newswire Text",,0
The Challenges of Parsing Chinese with Combinatory Categorial Grammar,,0
Using Supertags and Encoded Annotation Principles for Improved Dependency to Phrase Structure Conversion,,0
Getting More from Morphology in Multilingual Dependency Parsing,,0
Stylometric Analysis of Scientific Articles,,0
Using paraphrases for improving first story detection in news and Twitter,,0
Insertion and Deletion Models for Statistical Machine Translation,,0
TransAhead: A Computer-Assisted Translation and Writing Tool,,0
Correction Detection and Error Type Selection as an ESL Educational Aid,,0
Getting More from Segmentation Evaluation,,0
G2P Conversion of Proper Names Using Word Origin Information,,0
Evaluating a Morphological Analyser of Inuktitut,,0
Intra-Speaker Topic Modeling for Improved Multi-Party Meeting Summarization with Integrated Random Walk,,0
Towards Using EEG to Improve ASR Accuracy,,0
A Comparative Investigation of Morphological Language Modeling for the Languages of the European Union,,0
Leveraging supplemental representations for sequential transduction,,0
A Hierarchical Dirichlet Process Model for Joint Part-of-Speech and Morphology Induction,,0
Encouraging Consistent Translation Choices,,0
Batch Tuning Strategies for Statistical Machine Translation,,0
Real-time Incremental Speech-to-Speech Translation of Dialogs,,0
Parsing Time: Learning to Interpret Time Expressions,,0
Fine-Grained Focus for Pinpointing Positive Implicit Meaning from Negated Statements,,0
Taxonomy Induction Using Hierarchical Random Graphs,,0
Cross-lingual Word Clusters for Direct Transfer of Linguistic Structure,,0
Training Dependency Parser Using Light Feedback,,0
Vine Pruning for Efficient Multi-Pass Dependency Parsing,,0
Active Learning for Coreference Resolution,,0
Space Efficiencies in Discourse Modeling via Conditional Random Sampling,,0
Predicting Overt Display of Power in Written Dialogs,,0
Co-reference via Pointing and Haptics in Multi-Modal Dialogues,,0
Trait-Based Hypothesis Selection For Machine Translation,,0
Improved Reordering for Shallow-n Grammar based Hierarchical Phrase-based Translation,,0
Automatic Parallel Fragment Extraction from Noisy Data,,0
Tuning as Linear Regression,,0
Ranking-based readability assessment for early primary children’s literature,,0
How Text Segmentation Algorithms Gain from Topic Models,,0
Identifying Comparable Corpora Using LDA,,0
Behavioral Factors in Interactive Training of Text Classifiers,,0
Better Evaluation for Grammatical Error Correction,,0
Are You Sure? Confidence in Prediction of Dependency Tree Edges,,0
Concavity and Initialization for Unsupervised Dependency Parsing,,0
Multimodal Grammar Implementation,,0
Portable Features for Classifying Emotional Text,,0
Stance Classification using Dialogic Properties of Persuasion,,0
Context-Enhanced Citation Sentiment Detection,,0
Predicting Responses to Microblog Posts,,0
The Intelius Nickname Collection: Quantitative Analyses from Billions of Public Records,,0
A comparison of models of word meaning in context,,0
Measuring Word Relatedness Using Heterogeneous Vector Space Models,,0
Expectations of Word Sense in Parallel Corpora,,0
Why Not Grab a Free Lunch? Mining Large Corpora for Parallel Sentences to Improve Translation Modeling,,0
Summarization of Historical Articles Using Temporal Event Clustering,,0
Comparing HMMs and Bayesian Networks for Surface Realisation,,0
On The Feasibility of Open Domain Referring Expression Generation Using Large Scale Folksonomies,,0
Structured Event Retrieval over Microblog Archives,,0
Learning from Bullying Traces in Social Media,,0
Grammatical structures for word-level sentiment detection,,0
Graph-Based Lexicon Expansion with Sparsity-Inducing Penalties,,0
Unified Expectation Maximization,,0
Low-Dimensional Discriminative Reranking,,0
Autonomous Self-Assessment of Autocorrections: Exploring Text Message Dialogues,,0
Translation-Based Projection for Multilingual Coreference Resolution,,0
Exploring Semi-Supervised Coreference Resolution of Medical Concepts using Semantic and Temporal Features,,0
Mind the Gap: Learning to Choose Gaps for Question Generation,,0
Unsupervised Concept-to-text Generation with Hypergraphs,,0
Detecting Visual Text,,0
Unsupervised Translation Sense Clustering,,0
Shared Components Topic Models,,0
Textual Predictors of Bill Survival in Congressional Committees,,0
Finding the Right Supervisor: Expert-Finding in a University Domain,,0
Automatic Animacy Classification,,0
Beauty Before Age? Applying Subjectivity to Automatic English Adjective Ordering,,0
Indexing Google 1T for low-turnaround wildcarded frequency queries,,0
Unified Extraction of Health Condition Descriptions,,0
Choosing an Evaluation Metric for Parser Design,,0
Domain-Specific Semantic Relatedness From Wikipedia: Can A Course Be Transferred?,,0
Using Ontology-based Approaches to Representing Speech Transcripts for Automated Speech Scoring,,0
Deep Unsupervised Feature Learning for Natural Language Processing,,0
Automatic Metrics for Genre-specific Text Quality,,0
A Weighting Scheme for Open Information Extraction,,0
Automatic Humor Classification on Twitter,,0
DeSoCoRe: Detecting Source Code Re-Use across Programming Languages,,0
A Graphical User Interface for Feature-Based Opinion Mining,,0
Navigating Large Comment Threads with CoFi,,0
SurfShop: combing a product ontology with topic model results for online window-shopping.,,0
An Interactive Humanoid Robot Exhibiting Flexible Sub-Dialogues,,0
"MSR SPLAT, a language analysis toolkit",,0
Incremental Speech Understanding in a Multi-Party Virtual Human Dialogue System,,0
A Robust Shallow Temporal Reasoning System,,0
AttitudeMiner: Mining Attitude from Online Discussions,,0
Tutorial Abstracts at the Conference of the North American Chapter of the Association for Computational Linguistics: Human Language Technologies,,0
100 Things You Always Wanted to Know about Linguistics But Were Afraid to Ask*,,0
"Structured Sparsity in Natural Language Processing: Models, Algorithms and Applications",,0
Arabic Dialect Processing Tutorial,,0
Natural Language Processing in Watson,,0
Variational Inference for Structured NLP Models,,0
Processing modality and negation,,0
On-Demand Distributional Semantic Distance and Paraphrasing,,0
Predicting Structures in NLP: Constrained Conditional Models and Integer Linear Programming in NLP,,0
NAACL-HLT Workshop on Future directions and needs in the Spoken Dialog Community: Tools and Data (SDCTD 2012),,0
Up from Limited Dialog Systems!,,0
"Directions for Research on Spoken Dialog Systems, Broadly Defined",,0
Position Paper: Towards Standardized Metrics and Tools for Spoken and Multimodal Dialog System Evaluation,,0
Dialogue Systems Using Online Learning: Beyond Empirical Methods,,0
"Statistical User Simulation for Spoken Dialogue Systems: What for, Which Data, Which Future?",,0
"The Future of Spoken Dialogue Systems is in their Past: Long-Term Adaptive, Conversational Assistants",,0
Towards Situated Collaboration,,0
Incremental Spoken Dialogue Systems: Tools and Data,,0
After Dialog Went Pervasive: Separating Dialog Behavior Modeling and Task Modeling,,0
Future Directions in Spoken Dialog Systems: A Community of Possibilities,,0
Bridging Gaps for Spoken Dialog System Frameworks in Instructional Settings,,0
A belief tracking challenge task for spoken dialog systems,,0
Framework for the Development of Spoken Dialogue System based on Collaboratively Constructed Semantic Resources,,0
The InproTK 2012 release,,0
A Simulation-based Framework for Spoken Language Understanding and Action Selection in Situated Interaction,,0
Mining Search Query Logs for Spoken Language Understanding,,0
HRItk: The Human-Robot Interaction ToolKit Rapid Development of Speech-Centric Interactive Systems in ROS,,0
One Year of Contender: What Have We Learned about Assessing and Tuning Industrial Spoken Dialog Systems?,,0
Towards Quality-Adaptive Spoken Dialogue Management,,0
Unsupervised Induction of Frame-Semantic Representations,,0
Transferring Frames: Utilization of Linked Lexical Resources,,0
Capitalization Cues Improve Dependency Grammar Induction,,0
Toward Tree Substitution Grammars with Latent Annotations,,0
Exploiting Partial Annotations with EM Training,,0
Using Senses in HMM Word Alignment,,0
Unsupervised Part of Speech Inference with Particle Filters,,0
Nudging the Envelope of Direct Transfer Methods for Multilingual Named Entity Recognition,,0
The PASCAL Challenge on Grammar Induction,,0
Two baselines for unsupervised dependency parsing,,0
Unsupervised Dependency Parsing using Reducibility and Fertility features,,0
Induction of Linguistic Structure with Combinatory Categorial Grammars,,0
Turning the pipeline into a loop: Iterated unsupervised dependency parsing and PoS induction,,0
Hierarchical clustering of word class distributions,,0
Combining the Sparsity and Unambiguity Biases for Grammar Induction,,0
Measuring the Influence of Long Range Dependencies with Neural Network Language Models,,0
"Large, Pruned or Continuous Space Language Models on a GPU for Statistical Machine Translation",,0
Deep Neural Network Language Models,,0
A Challenge Set for Advancing Language Modeling,,0
Unsupervised Vocabulary Adaptation for Morph-based Language Models,,0
Large-scale discriminative language model reranking for voice-search,,0
Revisiting the Case for Explicit Syntactic Information in Language Models,,0
Computational Analysis of Referring Expressions in Narratives of Picture Books,,0
"A Computational Analysis of Style, Affect, and Imagery in Contemporary Poetry",,0
Towards a Literary Machine Translation: The Role of Referential Cohesion,,0
Unsupervised Stylistic Segmentation of Poetry with Change Curves and Extrinsic Features,,0
Aligning Bilingual Literary Works: a Pilot Study,,0
Function Words for Chinese Authorship Attribution,,0
Mining wisdom,,0
Literary authorship attribution with phrase-structure fragments,,0
Digitizing 18th-Century French Literature: Comparing transcription methods for a critical edition text,,0
A Dictionary of Wisdom and Wit: Learning to Extract Quotable Phrases,,0
A Pilot PropBank Annotation for Quranic Arabic,,0
Trend Analysis in Harper’s Bazaar,,0
Social Network Analysis of Alice in Wonderland,,0
Towards a computational approach to literary text analysis,,0
