Title,DOI,Citations
On Dual Decomposition and Linear Programming Relaxations for Natural Language Processing,,0
Self-Training with Products of Latent Variable Grammars,,0
Utilizing Extra-Sentential Context for Parsing,,0
Turbo Parsers: Dependency Parsing by Approximate Variational Inference,,0
Holistic Sentiment Analysis Across Languages: Multilingual Supervised Latent Dirichlet Allocation,,0
Jointly Modeling Aspects and Opinions with a MaxEnt-LDA Hybrid,,0
Summarizing Contrastive Viewpoints in Opinionated Text,,0
Automatically Producing Plot Unit Representations for Narrative Text,,0
Handling Noisy Queries in Cross Language FAQ Retrieval,,0
Learning the Relative Usefulness of Questions in Community QA,,0
Positional Language Models for Clinical Information Retrieval,,0
Inducing Word Senses to Improve Web Search Result Clustering,,0
Improving Translation via Targeted Paraphrasing,,0
Soft Syntactic Constraints for Hierarchical Phrase-Based Translation Using Latent Syntactic Distributions,,0
A Hybrid Morpheme-Word Representation for Machine Translation of Morphologically Rich Languages,,0
“Poetic” Statistical Machine Translation: Rhyme and Meter,,0
Efficient Graph-Based Semi-Supervised Learning of Structured Tagging Models,,0
Better Punctuation Prediction with Dynamic Conditional Random Fields,,0
Joint Training and Decoding Using Virtual Nodes for Cascaded Segmentation and Tagging Tasks,,0
"Crouching Dirichlet, Hidden Markov Model: Unsupervised POS Tagging with Context Local Tag Generation",,0
Improving Gender Classification of Blog Authors,,0
Negative Training Data Can be Harmful to Text Classification,,0
Modeling Organization in Student Essays,,0
Evaluating Models of Latent Document Semantics in the Presence of OCR Errors,,0
Translingual Document Representations from Discriminative Projections,,0
Storing the Web in Memory: Space Efficient Language Models with Constant Time Retrieval,,0
Efficient Incremental Decoding for Tree-to-String Translation,,0
Modeling Perspective Using Adaptor Grammars,,0
Predicting the Semantic Compositionality of Prefix Verbs,,0
Joint Inference for Bilingual Semantic Role Labeling,,0
Automatic Discovery of Manner Relations and its Applications,,0
Tense Sense Disambiguation: A New Syntactic Polysemy Task,,0
Improving Mention Detection Robustness to Noisy Input,,0
Clustering-Based Stratified Seed Sampling for Semi-Supervised Relation Classification,,0
Unsupervised Discovery of Negative Categories in Lexicon Bootstrapping,,0
Automatic Keyphrase Extraction via Topic Decomposition,,0
Incorporating Content Structure into Text Analysis Applications,,0
Exploiting Conversation Structure in Unsupervised Topic Segmentation for Emails,,0
A Semi-Supervised Approach to Improve Classification of Infrequent Discourse Relations Using Feature Vector Extension,,0
A Game-Theoretic Approach to Generating Spatial Descriptions,,0
Facilitating Translation Using Source Language Paraphrase Lattices,,0
Mining Name Translations from Entity Graph Mapping,,0
Non-Isomorphic Forest Pair Translation,,0
Discriminative Instance Weighting for Domain Adaptation in Statistical Machine Translation,,0
NLP on Spoken Documents Without ASR,,0
Fusing Eye Gaze with Speech Recognition Hypotheses to Resolve Exophoric References in Situated Dialogue,,0
Multi-Document Summarization Using A* Search and Discriminative Learning,,0
A Multi-Pass Sieve for Coreference Resolution,,0
A Simple Domain-Independent Probabilistic Approach to Generation,,0
Title Generation with Quasi-Synchronous Grammar,,0
Automatic Analysis of Rhythmic Poetry with Applications to Generation and Translation,,0
Discriminative Word Alignment with a Function Word Reordering Model,,0
Hierarchical Phrase-Based Translation Grammars Extracted from Alignment Posterior Probabilities,,0
Maximum Entropy Based Phrase Reordering for Hierarchical Phrase-Based Translation,,0
Further Meta-Evaluation of Broad-Coverage Surface Realization,,0
Two Decades of Unsupervised POS Induction: How Far Have We Come?,,0
We’re Not in Kansas Anymore: Detecting Domain Changes in Streams,,0
A Fast Fertility Hidden Markov Model for Word Alignment Using MCMC,,0
Minimum Error Rate Training by Sampling the Translation Lattice,,0
Statistical Machine Translation with a Factorized Grammar,,0
Discriminative Sample Selection for Statistical Machine Translation,,0
Effects of Empty Categories on Machine Translation,,0
SCFG Decoding Without Binarization,,0
Example-Based Paraphrasing for Improved Phrase-Based Statistical Machine Translation,,0
Combining Unsupervised and Supervised Alignments for MT: An Empirical Study,,0
Top-Down Nearly-Context-Sensitive Parsing,,0
Improved Fully Unsupervised Parsing with Zoomed Learning,,0
