Title,DOI,Citations
Classifying Tweet Level Judgements of Rumours in Social Media,10.18653/v1/D15-1311,26
SLSA: A Sentiment Lexicon for Standard Arabic,10.18653/v1/D15-1304,25
Broad-coverage CCG Semantic Parsing with AMR,10.18653/v1/D15-1198,25
Efficient Methods for Incorporating Knowledge into Topic Models,10.18653/v1/D15-1037,25
Semantic Role Labeling with Neural Network Factors,10.18653/v1/D15-1112,25
Predicting the Structure of Cooking Recipes,10.18653/v1/D15-1090,25
Syntax-Aware Multi-Sense Word Embeddings for Deep Compositional Models of Meaning,10.18653/v1/D15-1177,25
Non-lexical neural architecture for fine-grained POS Tagging,10.18653/v1/D15-1025,24
Comparing Word Representations for Implicit Discourse Relation Classification,10.18653/v1/D15-1262,23
Scientific Article Summarization Using Citation-Context and Article’s Discourse Structure,10.18653/v1/D15-1045,23
Discourse parsing for multi-party chat dialogues,10.18653/v1/D15-1109,23
On the Role of Discourse Markers for Discriminating Claims and Premises in Argumentative Discourse,10.18653/v1/D15-1267,22
FINET: Context-Aware Fine-Grained Named Entity Typing,10.18653/v1/D15-1103,22
Identifying Political Sentiment between Nation States with Social Media,10.18653/v1/D15-1007,22
A Model of Zero-Shot Learning of Spoken Language Understanding,10.18653/v1/D15-1027,21
Extractive Summarization by Maximizing Semantic Volume,10.18653/v1/D15-1228,21
Multi- and Cross-Modal Semantics Beyond Vision: Grounding in Auditory Perception,10.18653/v1/D15-1293,20
Joint Prediction for Entity/Event-Level Sentiment Analysis using Probabilistic Soft Logic Models,10.18653/v1/D15-1018,20
Corpus-level Fine-grained Entity Typing Using Contextual Information,10.18653/v1/D15-1083,20
Phrase-based Compressive Cross-Language Summarization,10.18653/v1/D15-1012,20
Posterior calibration and exploratory analysis for natural language processing models,10.18653/v1/D15-1182,19
A Baseline Temporal Tagger for all Languages,10.18653/v1/D15-1063,19
Concept-based Summarization using Integer Linear Programming: From Concept Pruning to Multiple Optimal Solutions,10.18653/v1/D15-1220,19
Event Detection and Factuality Assessment with Non-Expert Supervision,10.18653/v1/D15-1189,19
Higher-order logical inference with compositional semantics,10.18653/v1/D15-1244,19
What’s in an Embedding? Analyzing Word Embeddings through Multilingual Evaluation,10.18653/v1/D15-1246,18
Efficient Hyper-parameter Optimization for NLP Applications,10.18653/v1/D15-1253,18
Improved Arabic Dialect Classification with Social Media Data,10.18653/v1/D15-1254,18
Online Learning of Interpretable Word Embeddings,10.18653/v1/D15-1196,18
System Combination for Multi-document Summarization,10.18653/v1/D15-1011,18
ERSOM: A Structural Ontology Matching Approach Using Automatically Learned Entity Representation,10.18653/v1/D15-1289,18
Social Media Text Classification under Negative Covariate Shift,10.18653/v1/D15-1282,18
"Trans-gram, Fast Cross-lingual Word-embeddings",10.18653/v1/D15-1131,17
Alignment-Based Compositional Semantics for Instruction Following,10.18653/v1/D15-1138,17
Identification and Verification of Simple Claims about Statistical Properties,10.18653/v1/D15-1312,17
Distributional vectors encode referential attributes,10.18653/v1/D15-1002,17
Chinese Semantic Role Labeling with Bidirectional Recurrent Neural Networks,10.18653/v1/D15-1186,17
