Title,DOI,Citations
Event-Based Time Label Propagation for Automatic Dating of News Articles,,0
Exploiting Discourse Analysis for Article-Wide Temporal Classification,,0
Combining Generative and Discriminative Model Scores for Distant Supervision,,0
Exploring the Utility of Joint Morphological and Syntactic Learning from Child-directed Speech,,0
"A Joint Learning Model of Word Segmentation, Lexical Acquisition, and Phonetic Variability",,0
Animacy Detection with Voting Models,,0
A Log-Linear Model for Unsupervised Text Normalization,,0
Paraphrasing 4 Microblog Normalization,,0
Question Difficulty Estimation in Community Question Answering Services,,0
Measuring Ideological Proportions in Political Speeches,,0
Learning to Freestyle: Hip Hop Challenge-Response Induction via Transduction Rule Segmentation,,0
Modeling Scientific Impact with Topical Influence Regression,,0
Joint Parsing and Disfluency Detection in Linear Time,,0
Modeling and Learning Semantic Co-Compositionality through Prototype Projections and Neural Networks,,0
Studying the Recursive Behaviour of Adjectival Modification with Compositional Distributional Semantics,,0
Learning Latent Word Representations for Domain Adaptation using Supervised Word Clustering,,0
Appropriately Incorporating Statistical Significance in PMI,,0
Growing Multi-Domain Glossaries from a Few Seeds using Probabilistic Topic Models,,0
Joint Learning of Phonetic Units and Word Pronunciations for ASR,,0
MCTest: A Challenge Dataset for the Open-Domain Machine Comprehension of Text,,0
Noise-Aware Character Alignment for Bootstrapping Statistical Machine Transliteration from Bilingual Corpora,,0
Optimal Beam Search for Machine Translation,,0
An Efficient Language Model Using Double-Array Structures,,0
Structured Penalties for Log-Linear Language Models,,0
Interactive Machine Translation using Hierarchical Translation Models,,0
Max-Margin Synchronous Grammar Induction for Machine Translation,,0
Error-Driven Analysis of Challenges in Coreference Resolution,,0
Exploiting Zero Pronouns to Improve Chinese Coreference Resolution,,0
Joint Coreference Resolution and Named-Entity Linking with Multi-Pass Sieves,,0
Interpreting Anaphoric Shell Nouns using Antecedents of Cataphoric Shell Nouns as Training Data,,0
Exploring Representations from Unlabeled Data with Co-training for Chinese Word Segmentation,,0
Efficient Higher-Order CRFs for Morphological Tagging,,0
The Effects of Syntactic Features in Automatic Prediction of Morphology,,0
Adaptor Grammars for Learning Non-Concatenative Morphology,,0
Grounding Strategic Conversation: Using Negotiation Dialogues to Predict Trades in a Win-Lose Game,,0
Unsupervised Induction of Contingent Event Pairs from Film Scenes,,0
Latent Anaphora Resolution for Cross-Lingual Pronoun Prediction,,0
Towards Situated Dialogue: Revisiting Referring Expression Generation,,0
Open-Domain Fine-Grained Class Extraction from Web Search Queries,,0
Unsupervised Relation Extraction with General Domain Knowledge,,0
Efficient Collective Entity Linking with Stacking,,0
Joint Bootstrapping of Corpus Annotations and Entity Types,,0
Effectiveness and Efficiency of Open Relation Extraction,,0
Automatic Feature Engineering for Answer Selection and Extraction,,0
Improving Web Search Ranking by Incorporating Structured Annotation of Queries,,0
Building Specialized Bilingual Lexicons Using Large Scale Background Knowledge,,0
Document Summarization via Guided Sentence Compression,,0
Anchor Graph: Global Reordering Contexts for Statistical Machine Translation,,0
Source-Side Classifier Preordering for Machine Translation,,0
Improving Pivot-Based Statistical Machine Translation Using Random Walk,,0
Improving Alignment of System Combination by Using Multi-objective Optimization,,0
Flexible and Efficient Hypergraph Interactions for Joint Hierarchical and Forest-to-String Decoding,,0
Factored Soft Source Syntactic Constraints for Hierarchical Machine Translation,,0
Recursive Autoencoders for ITG-Based Translation,,0
Automatically Classifying Edit Categories in Wikipedia Revisions,,0
Semi-Markov Phrase-Based Monolingual Alignment,,0
A Constrained Latent Variable Model for Coreference Resolution,,0
Centering Similarity Measures to Reduce Hubs,,0
Unsupervised Spectral Learning of WCFG as Low-rank Matrix Completion,,0
Identifying Phrasal Verbs Using Many Bilingual Corpora,,0
Deep Learning for Chinese Word Segmentation and POS Tagging,,0
Joint Chinese Word Segmentation and POS Tagging on Heterogeneous Annotated Corpora with Multiple Task Learning,,0
The Topology of Semantic Knowledge,,0
Unsupervised Induction of Cross-Lingual Semantic Relations,,0
Two-Stage Method for Large-Scale Acquisition of Contradiction Pattern Pairs using Entailment,,0
Sarcasm as Contrast between a Positive Sentiment and Negative Situation,,0
Collective Personal Profile Summarization with Social Networks,,0
Optimized Event Storyline Generation based on Mixture-Event-Aspect Model,,0
Automatically Determining a Proper Length for Multi-Document Summarization: A Bayesian Nonparametric Approach,,0
A Discourse-Driven Content Model for Summarising Scientific Articles Evaluated in a Complex Question Answering Task,,0
Optimal Incremental Parsing via Best-First Dynamic Programming,,0
Exploiting Language Models for Visual Recognition,,0
Mining Scientific Terms and their Definitions: A Study of the ACL Anthology,,0
Joint Learning and Inference for Grammatical Error Correction,,0
With Blinkers on: Robust Prediction of Eye Movements across Readers,,0
Using Paraphrases and Lexical Semantics to Improve the Accuracy and the Robustness of Supervised Models in Situated Dialogue Systems,,0
Cascading Collective Classification for Bridging Anaphora Recognition using a Rich Linguistic Feature Set,,0
A Synchronous Context Free Grammar for Time Normalization,,0
Rule-Based Information Extraction is Dead! Long Live Rule-Based Information Extraction Systems!,,0
Improving Learning and Inference in a Large Knowledge-Base using Latent Syntactic Cues,,0
What is Hidden among Translation Rules,,0
Converting Continuous-Space Language Models into N-Gram Language Models for Statistical Machine Translation,,0
A Corpus Level MIRA Tuning Strategy for Machine Translation,,0
Word Level Language Identification in Online Multilingual Communication,,0
Microblog Entity Linking by Leveraging Extra Posts,,0
Automatic Domain Partitioning for Multi-Domain Learning,,0
Decipherment with a Million Random Restarts,,0
Russian Stress Prediction using Maximum Entropy Ranking,,0
Scaling to Large³ Data: An Efficient and Effective Method to Compute Distributional Thesauri,,0
Discriminative Improvements to Distributional Sentence Similarity,,0
Is Twitter A Better Corpus for Measuring Sentiment Similarity?,,0
Implicit Feature Detection via a Constrained Topic Model and SVM,,0
Online Learning for Inexact Hypergraph Search,,0
Predicting the Presence of Discourse Connectives,,0
Japanese Zero Reference Resolution Considering Exophora and Author/Reader Mentions,,0
A Dataset for Research on Short-Text Conversations,,0
Discourse Level Explanatory Relation Extraction from Product Reviews Using First-Order Logic,,0
Building Event Threads out of Multiple News Articles,,0
Tree Kernel-based Negation and Speculation Scope Detection with Structured Syntactic Parse Features,,0
A temporal model of text periodicities using Gaussian Processes,,0
Automatically Detecting and Attributing Indirect Quotations,,0
Identifying Web Search Query Reformulation using Concept based Matching,,0
The Answer is at your Fingertips: Improving Passage Retrieval for Web Question Answering with Search Behavior Data,,0
Assembling the Kazakh Language Corpus,,0
Automatic Extraction of Morphological Lexicons from Morphologically Annotated Corpora,,0
Joint Language and Translation Modeling with Recurrent Neural Networks,,0
Multi-Domain Adaptation for SMT Using Multi-Task Learning,,0
Translation with Source Constituency and Dependency Trees,,0
Monolingual Marginal Matching for Translation Model Adaptation,,0
Efficient Left-to-Right Hierarchical Phrase-Based Translation with Improved Reordering,,0
A Systematic Exploration of Diversity in Machine Translation,,0
Max-Violation Perceptron and Forced Decoding for Scalable MT Training,,0
Identifying Multiple Userids of the Same Author,,0
Gender Inference of Twitter Users in Non-English Contexts,,0
"A Multimodal LDA Model integrating Textual, Cognitive and Visual Modalities",,0
Combining PCFG-LA Models with Dual Decomposition: A Case Study with Function Labels and Binarization,,0
Feature Noising for Log-Linear Structured Prediction,,0
Improvements to the Bayesian Topic N-Gram Models,,0
An Empirical Study Of Semi-Supervised Chinese Word Segmentation Using Co-Training,,0
Ubertagging: Joint Segmentation and Supertagging for English,,0
Automatic Knowledge Acquisition for Case Alternation between the Passive and Active Voices in Japanese,,0
Exploiting Multiple Sources for Open-Domain Hypernym Discovery,,0
A Semantically Enhanced Approach to Determine Textual Similarity,,0
Understanding and Quantifying Creativity in Lexical Composition,,0
Sentiment Analysis: How to Derive Prior Polarities from SentiWordNet,,0
Simulating Early-Termination Search for Verbose Spoken Queries,,0
Summarizing Complex Events: a Cross-Modal Solution of Storylines Extraction and Reconstruction,,0
Image Description using Visual Dependency Representations,,0
Semi-Supervised Feature Transformation for Dependency Parsing,,0
Leveraging Lexical Cohesion and Disruption for Topic Segmentation,,0
This Text Has the Scent of Starbucks: A Laplacian Structured Sparsity Model for Computational Branding Analytics,,0
Mining New Business Opportunities: Identifying Trend related Products by Leveraging Commercial Intents from Microblogs,,0
Using Topic Modeling to Improve Prediction of Neuroticism and Depression in College Students,,0
Predicting the Resolution of Referring Expressions from User Behavior,,0
Chinese Zero Pronoun Resolution: Some Recent Advances,,0
Connecting Language and Knowledge Bases with Embedding Models for Relation Extraction,,0
Simple Customization of Recursive Neural Networks for Semantic Relation Classification,,0
Improving Statistical Machine Translation with Word Class Models,,0
Shift-Reduce Word Reordering for Machine Translation,,0
Decoding with Large-Scale Neural Language Models Improves Translation,,0
Bilingual Word Embeddings for Phrase-Based Machine Translation,,0
Application of Localized Similarity for Web Documents,,0
Dependency Language Models for Sentence Completion,,0
A Walk-Based Semantically Enriched Tree Kernel Over Distributed Word Representations,,0
Automatic Idiom Identification in Wiktionary,,0
Elephant: Sequence Labeling for Word and Sentence Segmentation,,0
Detecting Compositionality of Multi-Word Expressions using Nearest Neighbours in Vector Space Models,,0
Naive Bayes Word Sense Induction,,0
The VerbCorner Project: Toward an Empirically-Based Semantic Decomposition of Verbs,,0
Where Not to Eat? Improving Public Policy by Predicting Hygiene Inspections Using Online Reviews,,0
Automatically Identifying Pseudepigraphic Texts,,0
Dynamic Feature Selection for Dependency Parsing,,0
Semi-Supervised Representation Learning for Cross-Lingual Text Classification,,0
Using Crowdsourcing to get Representations based on Regular Expressions,,0
Overcoming the Lack of Parallel Data in Sentence Compression,,0
Fast Joint Compression and Summarization via Graph Cuts,,0
Inducing Document Plans for Concept-to-Text Generation,,0
Single-Document Summarization as a Tree Knapsack Problem,,0
A Hierarchical Entity-Based Approach to Structuralize User Generated Content in Social Media: A Case of Yahoo! Answers,,0
Semantic Parsing on Freebase from Question-Answer Pairs,,0
Scaling Semantic Parsers with On-the-Fly Ontology Matching,,0
Classifying Message Board Posts with an Extracted Lexicon of Patient Attributes,,0
Lexical Chain Based Cohesion Models for Document-Level Statistical Machine Translation,,0
