Title,DOI,Citations
Translating Videos to Natural Language Using Deep Recurrent Neural Networks,10.3115/v1/N15-1173,389
Effective Use of Word Order for Text Categorization with Convolutional Neural Networks,10.3115/v1/N15-1011,313
A Neural Network Approach to Context-Sensitive Generation of Conversational Responses,10.3115/v1/N15-1020,246
Retrofitting Word Vectors to Semantic Lexicons,10.3115/v1/N15-1184,214
Representation Learning Using Multi-Task Deep Neural Networks for Semantic Classification and Information Retrieval,10.3115/v1/N15-1092,159
Normalized Word Embedding and Orthogonal Transform for Bilingual Word Translation,10.3115/v1/N15-1104,114
Two/Too Simple Adaptations of Word2Vec for Syntax Problems,10.3115/v1/N15-1142,101
Combining Language and Vision with a Multimodal Skip-gram Model,10.3115/v1/N15-1016,85
Convolutional Neural Network for Paraphrase Identification,10.3115/v1/N15-1091,85
Injecting Logical Background Knowledge into Embeddings for Relation Extraction,10.3115/v1/N15-1118,74
Not All Character N-grams Are Created Equal: A Study in Authorship Attribution,10.3115/v1/N15-1010,71
Lexicon-Free Conversational Speech Recognition with Neural Networks,10.3115/v1/N15-1038,67
Sentiment after Translation: A Case-Study on Arabic Social Media Posts,10.3115/v1/N15-1078,54
Toward Abstractive Summarization Using Semantic Representations,10.3115/v1/N15-1114,50
Semi-Supervised Word Sense Disambiguation Using Word Embeddings in General and Specific Domains,10.3115/v1/N15-1035,49
Do Supervised Distributional Methods Really Learn Lexical Inference Relations?,10.3115/v1/N15-1098,49
MPQA 3.0: An Entity/Event-Level Sentiment Corpus,10.3115/v1/N15-1146,48
"What’s Cookin’? Interpreting Cooking Videos using Text, Speech and Vision",10.3115/v1/N15-1015,45
Learning Knowledge Graphs for Question Answering through Conversational Dialog,10.3115/v1/N15-1086,44
Personalized Page Rank for Named Entity Disambiguation,10.3115/v1/N15-1026,41
Deep Multilingual Correlation for Improved Word Embeddings,10.3115/v1/N15-1028,37
Incorporating Word Correlation Knowledge into Topic Modeling,10.3115/v1/N15-1074,37
Exploiting Text and Network Context for Geolocation of Social Media Users,10.3115/v1/N15-1153,35
