Title,DOI,Citations
Extracting Opinion Targets and Opinion Words from Online Reviews with Graph Co-ranking,10.3115/v1/P14-1030,20
Interpretable Semantic Vectors from a Joint Model of Brain- and Text- Based Meaning,10.3115/v1/P14-1046,20
Unsupervised Alignment of Privacy Policies using Hidden Markov Models,10.3115/v1/P14-2099,20
Labelling Topics using Unsupervised Graph-based Methods,10.3115/v1/P14-2103,20
Collective Tweet Wikification based on Semi-supervised Graph Regularization,10.3115/v1/P14-1036,19
Automatic Annotation Suggestions and Custom Annotation Layers in WebAnno,10.3115/v1/P14-5016,19
Distant Supervision for Relation Extraction with Matrix Completion,10.3115/v1/P14-1079,19
An Empirical Study on the Effect of Negation Words on Sentiment,10.3115/v1/P14-1029,18
Distributed Representations of Geographically Situated Language,10.3115/v1/P14-2134,18
Predicting Grammaticality on an Ordinal Scale,10.3115/v1/P14-2029,18
Polylingual Tree-Based Topic Models for Translation Domain Adaptation,10.3115/v1/P14-1110,17
Medical Relation Extraction with Manifold Models,10.3115/v1/P14-1078,17
Semantic Frame Identification with Distributed Word Representations,10.3115/v1/P14-1136,17
Modeling Factuality Judgments in Social Media Text,10.3115/v1/P14-2068,17
Automatic Detection of Cognates Using Orthographic Alignment,10.3115/v1/P14-2017,17
ReNew: A Semi-Supervised Framework for Generating Domain-Specific Lexicons and Sentiment Analysis,10.3115/v1/P14-1051,16
Cross-lingual Opinion Analysis via Negative Transfer Detection,10.3115/v1/P14-2139,16
A Simple Bayesian Modelling Approach to Event Extraction from Twitter,10.3115/v1/P14-2114,16
"Less Grammar, More Features",10.3115/v1/P14-1022,16
A Feature-Enriched Tree Kernel for Relation Extraction,10.3115/v1/P14-2011,16
Learning Structured Perceptrons for Coreference Resolution with Latent Antecedents and Non-local Features,10.3115/v1/P14-1005,15
Hierarchical Summarization: Scaling Up Multi-Document Summarization,10.3115/v1/P14-1085,15
Low-Rank Tensors for Scoring Dependency Structures,10.3115/v1/P14-1130,14
Structured Learning for Taxonomy Induction with Belief Propagation,10.3115/v1/P14-1098,14
Recurrent Neural Networks for Word Alignment Model,10.3115/v1/P14-1138,14
A Piece of My Mind: A Sentiment Analysis Approach for Online Dispute Detection,10.3115/v1/P14-2113,14
Part-of-Speech Tagging using Conditional Random Fields: Exploiting Sub-Label Dependencies for Improved Accuracy,10.3115/v1/P14-2043,14
Measuring Sentiment Annotation Complexity of Text,10.3115/v1/P14-2007,14
Abstractive Summarization of Spoken and Written Conversations Based on Phrasal Queries,10.3115/v1/P14-1115,14
Improving Multi-Modal Representations Using Image Dispersion: Why Less is Sometimes More,10.3115/v1/P14-2135,13
Single-Agent vs. Multi-Agent Techniques for Concurrent Reinforcement Learning of Negotiation Dialogue Policies,10.3115/v1/P14-1047,13
Exploiting Timelines to Enhance Multi-document Summarization,10.3115/v1/P14-1087,13
Linguistic Structured Sparsity in Text Categorization,10.3115/v1/P14-1074,13
Joint POS Tagging and Transition-based Constituent Parsing in Chinese with Non-local Features,10.3115/v1/P14-1069,13
Bilingual Active Learning for Relation Classification via Pseudo Parallel Corpora,10.3115/v1/P14-1055,13
Two-Stage Hashing for Fast Document Retrieval,10.3115/v1/P14-2081,12
Probabilistic Soft Logic for Semantic Textual Similarity,10.3115/v1/P14-1114,12
Using Discourse Structure Improves Machine Translation Evaluation,10.3115/v1/P14-1065,12
Tri-Training for Authorship Attribution with Limited Training Data,10.3115/v1/P14-2057,12
Learning Bilingual Word Representations by Marginalizing Alignments,10.3115/v1/P14-2037,12
Automatic Labelling of Topic Models Learned from Twitter by Summarisation,10.3115/v1/P14-2101,12
Robust Logistic Regression using Shift Parameters,10.3115/v1/P14-2021,12
Dependency-based Pre-ordering for Chinese-English Machine Translation,10.3115/v1/P14-2026,12
Bilingual Event Extraction: a Case Study on Trigger Type Determination,10.3115/v1/P14-2136,11
Improving Text Normalization via Unsupervised Model and Discriminative Reranking,10.3115/v1/P14-3012,11
A practical and linguistically-motivated approach to compositional distributional semantics,10.3115/v1/P14-1009,11
New Word Detection for Sentiment Analysis,10.3115/v1/P14-1050,11
Discovering Latent Structure in Task-Oriented Dialogues,10.3115/v1/P14-1004,11
Logical Inference on Dependency-based Compositional Semantics,10.3115/v1/P14-1008,11
Graph-based Semi-Supervised Learning of Translation Models from Monolingual Data,10.3115/v1/P14-1064,10
Improving Citation Polarity Classification with Product Reviews,10.3115/v1/P14-2008,10
Cheap and easy entity evaluation,10.3115/v1/P14-2076,10
Ambiguity-aware Ensemble Training for Semi-supervised Dependency Parsing,10.3115/v1/P14-1043,10
