Title,DOI,Citations
Neural Machine Translation of Rare Words with Subword Units,10.18653/v1/P16-1162,1554
Attention-Based Bidirectional Long Short-Term Memory Networks for Relation Classification,10.18653/v1/P16-2034,1131
End-to-end Sequence Labeling via Bi-directional LSTM-CNNs-CRF,10.18653/v1/P16-1101,1030
End-to-End Relation Extraction using LSTMs on Sequences and Tree Structures,10.18653/v1/P16-1105,585
Neural Relation Extraction with Selective Attention over Instances,10.18653/v1/P16-1200,502
Improving Neural Machine Translation Models with Monolingual Data,10.18653/v1/P16-1009,463
Incorporating Copying Mechanism in Sequence-to-Sequence Learning,10.18653/v1/P16-1154,453
Summarizing Source Code using a Neural Attention Model,10.18653/v1/P16-1195,366
Neural Summarization by Extracting Sentences and Words,10.18653/v1/P16-1046,307
Dimensional Sentiment Analysis Using a Regional CNN-LSTM Model,10.18653/v1/P16-2037,288
A Persona-Based Neural Conversation Model,10.18653/v1/P16-1094,273
Relation Classification via Multi-Level Attention CNNs,10.18653/v1/P16-1123,269
Diachronic Word Embeddings Reveal Statistical Laws of Semantic Change,10.18653/v1/P16-1141,255
Modeling Coverage for Neural Machine Translation,10.18653/v1/P16-1008,221
TransG : A Generative Model for Knowledge Graph Embedding,10.18653/v1/P16-1219,209
Language to Logical Form with Neural Attention,10.18653/v1/P16-1004,198
Harnessing Deep Neural Networks with Logic Rules,10.18653/v1/P16-1228,189
Pointing the Unknown Words,10.18653/v1/P16-1014,142
The Creation and Analysis of a Website Privacy Policy Corpus,10.18653/v1/P16-1126,134
A Thorough Examination of the CNN/Daily Mail Reading Comprehension Task,10.18653/v1/P16-1223,129
Query Expansion with Locally-Trained Word Embeddings,10.18653/v1/P16-1035,123
Deep multi-task learning with low level tasks supervised at lower layers,10.18653/v1/P16-2038,123
The Value of Semantic Parse Labeling for Knowledge Base Question Answering,10.18653/v1/P16-2033,122
Question Answering on Freebase via Relation Extraction and Textual Evidence,10.18653/v1/P16-1220,119
Improved Representation Learning for Question Answer Matching,10.18653/v1/P16-1044,119
Improving Named Entity Recognition for Chinese Social Media with Word Segmentation Representation Learning,10.18653/v1/P16-2025,117
Automatic Text Scoring Using Neural Networks,10.18653/v1/P16-1068,116
Natural Language Inference by Tree-Based Convolution and Heuristic Matching,10.18653/v1/P16-2022,113
Globally Normalized Transition-Based Neural Networks,10.18653/v1/P16-1231,112
Latent Predictor Networks for Code Generation,10.18653/v1/P16-1057,112
Generating Natural Questions About an Image,10.18653/v1/P16-1170,111
Generating Factoid Questions With Recurrent Neural Networks: The 30M Factoid Question-Answer Corpus,10.18653/v1/P16-1056,110
Siamese CBOW: Optimizing Word Embeddings for Sentence Representations,10.18653/v1/P16-1089,110
Bidirectional Recurrent Convolutional Neural Network for Relation Classification,10.18653/v1/P16-1072,108
Tree-to-Sequence Attentional Neural Machine Translation,10.18653/v1/P16-1078,103
Multilingual Part-of-Speech Tagging with Bidirectional Long Short-Term Memory Models and Auxiliary Loss,10.18653/v1/P16-2067,102
Achieving Open Vocabulary Neural Machine Translation with Hybrid Word-Character Models,10.18653/v1/P16-1100,96
Inner Attention based Recurrent Neural Networks for Answer Selection,10.18653/v1/P16-1122,95
Embeddings for Word Sense Disambiguation: An Evaluation Study,10.18653/v1/P16-1085,94
A Fast Unified Model for Parsing and Sentence Understanding,10.18653/v1/P16-1139,91
A Character-level Decoder without Explicit Segmentation for Neural Machine Translation,10.18653/v1/P16-1160,91
Text Understanding with the Attention Sum Reader Network,10.18653/v1/P16-1086,90
Discriminative Deep Random Walk for Network Classification,10.18653/v1/P16-1095,88
Tweet2Vec: Character-Based Distributed Representations for Social Media,10.18653/v1/P16-2044,83
Improving Coreference Resolution by Learning Entity-Level Distributed Representations,10.18653/v1/P16-1061,81
A Trainable Spaced Repetition Model for Language Learning,10.18653/v1/P16-1174,81
Data Recombination for Neural Semantic Parsing,10.18653/v1/P16-1002,80
The Social Impact of Natural Language Processing,10.18653/v1/P16-2096,71
Minimum Risk Training for Neural Machine Translation,10.18653/v1/P16-1159,69
CFO: Conditional Focused Neural Question Answering with Large-scale Knowledge Bases,10.18653/v1/P16-1076,68
Improving Hypernymy Detection with an Integrated Path-based and Distributional Method,10.18653/v1/P16-1226,61
DocChat: An Information Retrieval Approach for Chatbot Engines Using Unstructured Documents,10.18653/v1/P16-1049,60
Neural Word Segmentation Learning for Chinese,10.18653/v1/P16-1039,60
Hawkes Processes for Continuous Time Sequence Classification: an Application to Rumour Stance Classification in Twitter,10.18653/v1/P16-2064,59
Leveraging FrameNet to Improve Automatic Event Detection,10.18653/v1/P16-1201,55
A Language-Independent Neural Network for Event Detection,10.18653/v1/P16-2011,51
Semi-Supervised Learning for Neural Machine Translation,10.18653/v1/P16-1185,51
Compositional Learning of Embeddings for Relation Paths in Knowledge Base and Text,10.18653/v1/P16-1136,50
Graph-based Dependency Parsing with Bidirectional LSTM,10.18653/v1/P16-1218,48
Generative Topic Embedding: a Continuous Representation of Documents,10.18653/v1/P16-1063,47
Investigating LSTMs for Joint Extraction of Opinion Entities and Relations,10.18653/v1/P16-1087,47
Normalising Medical Concepts in Social Media Texts by Learning Semantic Representation,10.18653/v1/P16-1096,47
Transition-Based Neural Word Segmentation,10.18653/v1/P16-1040,47
Collective Entity Resolution with Multi-Focal Attention,10.18653/v1/P16-1059,45
Which argument is more convincing? Analyzing and predicting convincingness of Web arguments using bidirectional LSTM,10.18653/v1/P16-1150,44
Learning To Use Formulas To Solve Simple Arithmetic Problems,10.18653/v1/P16-1202,43
Sentiment Domain Adaptation with Multiple Sources,10.18653/v1/P16-1029,43
Knowledge Base Completion via Coupled Path Ranking,10.18653/v1/P16-1124,42
Cross-Lingual Image Caption Generation,10.18653/v1/P16-1168,40
Liberal Event Extraction and Event Schema Induction,10.18653/v1/P16-1025,40
Neural Semantic Role Labeling with Dependency Path Embeddings,10.18653/v1/P16-1113,40
Character-based Neural Machine Translation,10.18653/v1/P16-2058,39
Integrating Distributional Lexical Contrast into Word Embeddings for Antonym-Synonym Distinction,10.18653/v1/P16-2074,39
