Title,DOI,Citations
Syntactic Transfer Using a Bilingual Lexicon,,0
Regularized Interlingual Projections: Evaluation on Multilingual Transliteration,,0
Bilingual Lexicon Extraction from Comparable Corpora Using Label Propagation,,0
Lexical Differences in Autobiographical Narratives from Schizophrenic Patients and Healthy Controls,,0
Streaming Analysis of Discourse Participants,,0
Detecting Subgroups in Online Discussions by Modeling Positive and Negative Relations among Participants,,0
Generative Goal-Driven User Simulation for Dialog Management,,0
Optimising Incremental Dialogue Decisions Using Information Density for Interactive Systems,,0
Mixed Membership Markov Models for Unsupervised Conversation Modeling,,0
An Entity-Topic Model for Entity Linking,,0
Linking Named Entities to Any Database,,0
Towards Efficient Named-Entity Rule Induction for Customizability,,0
Active Learning for Imbalanced Sentiment Classification,,0
A Weakly Supervised Model for Sentence-Level Semantic Orientation Analysis with Multiple Experts,,0
Collocation Polarity Disambiguation Using Web-based Pseudo Contexts,,0
Aligning Predicates across Monolingual Comparable Texts using Graph-based Clustering,,0
Local and Global Context for Supervised and Unsupervised Metonymy Resolution,,0
Learning Verb Inference Rules from Linguistically-Motivated Evidence,,0
Spectral Dependency Parsing with Latent Variables,,0
A Phrase-Discovering Topic Model Using Hierarchical Pitman-Yor Processes,,0
A Bayesian Model for Learning SCFGs with Discontiguous Rules,,0
Multiple Aspect Summarization Using Integer Linear Programming,,0
Minimal Dependency Length in Realization Ranking,,0
Framework of Automatic Text Summarization Using Reinforcement Learning,,0
Large Scale Decipherment for Out-of-Domain Machine Translation,,0
N-gram-based Tense Models for Statistical Machine Translation,,0
Source Language Adaptation for Resource-Poor Machine Translation,,0
Exploiting Reducibility in Unsupervised Dependency Parsing,,0
Improving Transition-Based Dependency Parsing with Buffer Transitions,,0
Generalized Higher-Order Dependency Parsing with Cube Pruning,,0
Universal Grapheme-to-Phoneme Prediction Over Latin Alphabets,,0
Name Phylogeny: A Generative Model of String Variation,,0
Syntactic Surprisal Affects Spoken Word Duration in Conversational Contexts,,0
Why Question Answering using Sentiment Analysis and Word Classes,,0
Natural Language Questions for the Web of Data,,0
Answering Opinion Questions on Products by Exploiting Hierarchical Organization of Consumer Reviews,,0
Locally Training the Log-Linear Model for SMT,,0
Iterative Annotation Transformation with Predict-Self Reestimation for Chinese Word Segmentation,,0
Automatically Constructing a Normalisation Dictionary for Microblogs,,0
Unsupervised PCFG Induction for Grounded Language Learning with Highly Ambiguous Supervision,,0
Forced Derivation Tree based Model Training to Statistical Machine Translation,,0
Multi-instance Multi-label Learning for Relation Extraction,,0
An “AI readability” Formula for French as a Foreign Language,,0
Dynamic Programming for Higher Order Parsing of Gap-Minding Trees,,0
Joint Entity and Event Coreference Resolution across Documents,,0
"Joint Chinese Word Segmentation, POS Tagging and Parsing",,0
Translation Model Based Cross-Lingual Language Model Adaptation: from Word Models to Phrase Models,,0
Open Language Learning for Information Extraction,,0
Modelling Sequential Text with an Adaptive Topic Model,,0
A Comparison of Vector-based Representations for Semantic Composition,,0
Exploiting Chunk-level Features to Improve Phrase Chunking,,0
A Beam-Search Decoder for Grammatical Error Correction,,0
A Statistical Relational Learning Approach to Identifying Evidence Based Medicine Categories,,0
"Lyrics, Music, and Emotions",,0
Assessment of ESL Learners’ Syntactic Competence Based on Similarity Measures,,0
A Unified Approach to Transliteration-based Text Input with Online Spelling Correction,,0
