Title,DOI,Citations
Efficient Third-Order Dependency Parsers,,0
Better Filtration and Augmentation for Hierarchical Phrase-Based Translation Rules,,0
Cognitively Plausible Models of Human Language Processing,,0
The Manually Annotated Sub-Corpus: A Community Resource for and by the People,,0
Correcting Errors in a Treebank Based on Synchronous Tree Substitution Grammar,,0
Evaluating Machine Translations Using mNCD,,0
Tackling Sparse Data Issue in Machine Translation Evaluation,,0
Exemplar-Based Models for Word Meaning in Context,,0
A Structured Model for Joint Learning of Argument Roles and Predicate Senses,,0
Semantics-Driven Shallow Parsing for Chinese Semantic Role Labeling,,0
Collocation Extraction beyond the Independence Assumption,,0
Automatic Collocation Suggestion in Academic Writing,,0
Event-Based Hyperspace Analogue to Language for Query Expansion,,0
Automatically Generating Term Frequency Induced Taxonomies,,0
Complexity Assumptions in Ontology Verbalisation,,0
Word Alignment with Synonym Regularization,,0
Fixed Length Word Suffix for Factored Statistical Machine Translation,,0
The Prevalence of Descriptive Referring Expressions in News and Narrative,,0
Unsupervised Discourse Segmentation of Documents with Inherently Parallel Structure,,0
Coreference Resolution with Reconcile,,0
Predicate Argument Structure Analysis Using Transformation Based Learning,,0
Improving Chinese Semantic Role Labeling with Rich Syntactic Features,,0
Balancing User Effort and Translation Error in Interactive Machine Translation via Confidence Measures,,0
Improving Arabic-to-English Statistical Machine Translation by Reordering Post-Verbal Subjects for Alignment,,0
Learning Common Grammar from Multilingual Corpus,,0
Tree-Based Deterministic Dependency Parsing — An Application to Nivre’s Method —,,0
Sparsity in Dependency Grammar Induction,,0
Top-Down K-Best A* Parsing,,0
Simple Semi-Supervised Training of Part-Of-Speech Taggers,,0
Efficient Optimization of an MDL-Inspired Objective Function for Unsupervised Part-Of-Speech Tagging,,0
SVD and Clustering for Unsupervised POS Tagging,,0
Intelligent Selection of Language Model Training Data,,0
Preferences versus Adaptation during Referring Expression Generation,,0
The Impact of Interpretation Problems on Tutorial Dialogue,,0
Understanding the Semantic Structure of Noun Phrase Queries,,0
Viterbi Training for PCFGs: Hardness Results and Competitiveness of Uniform Initialization,,0
Wikipedia as Sense Inventory to Improve Diversity in Web Search Results,,0
A Unified Graph Model for Sentence-Based Opinion Retrieval,,0
Generating Fine-Grained Reviews of Songs from Album Reviews,,0
A Study of Information Retrieval Weighting Schemes for Sentiment Analysis,,0
Supervised Noun Phrase Coreference Research: The First Fifteen Years,,0
Unsupervised Event Coreference Resolution with Rich Linguistic Features,,0
"Coreference Resolution across Corpora: Languages, Coding Schemes, and Preprocessing Information",,0
Constituency to Dependency Translation with Forests,,0
Learning to Translate with Source and Target Syntax,,0
Discriminative Modeling of Extraction Sets for Machine Translation,,0
Detecting Experiences from Weblogs,,0
Experiments in Graph-Based Semi-Supervised Learning Methods for Class-Instance Acquisition,,0
Learning Arguments and Supertypes of Semantic Relations Using Recursive Patterns,,0
A Transition-Based Parser for 2-Planar Dependency Structures,,0
A Generalized-Zero-Preserving Method for Compact Encoding of Concept Lattices,,0
Authorship Attribution Using Probabilistic Context-Free Grammars,,0
Knowledge-Rich Word Sense Disambiguation Rivaling Supervised Systems,,0
All Words Domain Adapted WSD: Finding a Middle Ground between Supervision and Unsupervision,,0
Combining Orthogonal Monolingual and Multilingual Sources of Evidence for All Words WSD,,0
Phrase-Based Statistical Language Generation Using Graphical Models and Active Learning,,0
Plot Induction and Evolutionary Search for Story Generation,,0
Automated Planning for Situated Natural Language Generation,,0
Beyond NomBank: A Study of Implicit Arguments for Nominal Predicates,,0
Paraphrase Lattice for Statistical Machine Translation,,0
A Joint Rule Selection Model for Hierarchical Phrase-Based Translation,,0
Learning Lexicalized Reordering Models from Reordering Graphs,,0
Filtering Syntactic Constraints for Statistical Machine Translation,,0
Diversify and Combine: Improving Word Alignment for Machine Translation on Low-Resource Languages,,0
Efficient Path Counting Transducers for Minimum Bayes-Risk Decoding of Statistical Machine Translation Lattices,,0
The Same-Head Heuristic for Coreference,,0
Blocked Inference in Bayesian Tree Substitution Grammars,,0
